storename,main_category,sub_category,item_name,item_price,item_info,item_unit,link
flink blutenburgstr,katze hund ,hunde ,ZooRoyal Rind mit Kartoffeln & Möhren,€2.49,400 g,€4.71/kg,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/zooroyal-rind-mit-kartoffeln-mohren-itemid-65942a6eea8eb83ede4e7330
flink blutenburgstr,katze hund ,hunde ,Frolic Hundesnack mit Geflügel 180g,€1.79,180 g,€4.71/kg,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/frolic-hundesnack-mit-geflugel-180g-itemid-6629259a7c8e7b3bbb27c647
flink blutenburgstr,katze hund ,hunde ,"ZooRoyal saftige Ringe Rind 1,5kg",€3.79,1.5 kg,€4.71/kg,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/zooroyal-saftige-ringe-rind-1-5kg-itemid-6629259a7c8e7b3bbb27c648
flink blutenburgstr,katze hund ,hunde ,Vitakraft Hundekotbeutel Shit Happens 3 Stück,€2.69,78 g,€4.71/kg,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/vitakraft-hundekotbeutel-shit-happens-3-stuck-itemid-6629259a7c8e7b3bbb27c649
flink blutenburgstr,katze hund ,hunde ,Vitakraft Kaustangen pure Chicken 80g,€2.79,80 g,€4.71/kg,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/vitakraft-kaustangen-pure-chicken-80g-itemid-6629259a7c8e7b3bbb27c64a
flink blutenburgstr,katze hund ,hunde ,Vitakraft pure Chicken Filets 80g,€2.79,80 g,€4.71/kg,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/vitakraft-pure-chicken-filets-80g-itemid-6629259a7c8e7b3bbb27c64b
flink blutenburgstr,katze hund ,hunde ,Pedigree 3 Sorten Geflügel 800g,€3.69,800 g,€4.71/kg,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/pedigree-3-sorten-geflugel-800g-itemid-6629259a7c8e7b3bbb27c7bf
flink blutenburgstr,katze hund ,hunde ,Pedigree Denta Stix Daily Oral Care 10-25kg 128 g,€2.29,128 g,€4.71/kg,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/pedigree-denta-stix-daily-oral-care-10-25kg-128-g-itemid-6629259a7c8e7b3bbb27c7c0
sri balaji indian market mnchen,tiefkuhl ,backwaren und kuchen ,Coppenrath & Wiese Apfelstrudel,€4.27,600 g,€7.12/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/coppenrath-wiese-apfelstrudel-itemid-64b65b0b9f8651f346451763
flink blutenburgstr,katze hund ,katzen ,Felix Nassfutter Vielfalt mit Gemüse,€7.29,12 pcs,€0.61/pc,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/felix-nassfutter-vielfalt-mit-gemuse-itemid-65942a6eea8eb83ede4e704f
flink blutenburgstr,katze hund ,katzen ,Felix Nassfutter Vielfalt vom Land,€7.29,12 pcs,€0.61/pc,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/felix-nassfutter-vielfalt-vom-land-itemid-65942a6eea8eb83ede4e70a7
flink blutenburgstr,katze hund ,katzen ,Purina One Trockenfutter Adult Huhn & Vollkorn-Getreide,€5.89,750 g,€0.61/pc,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/purina-one-trockenfutter-adult-huhn-vollkorn-getreide-itemid-65942a6eea8eb83ede4e709c
flink blutenburgstr,katze hund ,katzen ,Purina One Trockenfutter 7 Jahre Huhn und Vollkorn-Getreide,€5.89,800 g,€0.61/pc,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/purina-one-trockenfutter-7-jahre-huhn-und-vollkorn-getreide-itemid-65942a6eea8eb83ede4e7211
flink blutenburgstr,katze hund ,katzen ,ZooRoyal Vital Menü Adult,€3.19,750 g,€0.61/pc,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/zooroyal-vital-menu-adult-itemid-65942a6eea8eb83ede4e7367
